m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,2,2,bcast,0,51.383812
1024,1024,1024,256,2,2,bcast,0,52.460821
1024,1024,1024,256,2,2,bcast,0,52.642145
1024,1024,1024,256,2,2,bcast,0,52.316400
1024,1024,1024,256,2,2,bcast,0,52.129714
1024,1024,1024,256,2,2,p2p-i-la,1,200.530739
1024,1024,1024,256,2,2,p2p-i-la,1,210.599561
1024,1024,1024,256,2,2,p2p-i-la,1,211.304111
1024,1024,1024,256,2,2,p2p-i-la,1,210.146158
1024,1024,1024,256,2,2,p2p-i-la,1,211.950620
1024,1024,1024,256,2,2,p2p-i-la,2,202.363710
1024,1024,1024,256,2,2,p2p-i-la,2,211.034160
1024,1024,1024,256,2,2,p2p-i-la,2,211.866976
1024,1024,1024,256,2,2,p2p-i-la,2,211.804292
1024,1024,1024,256,2,2,p2p-i-la,2,212.222903
1024,1024,1024,256,2,2,p2p-i-la,3,188.029394
1024,1024,1024,256,2,2,p2p-i-la,3,211.366499
1024,1024,1024,256,2,2,p2p-i-la,3,211.929698
1024,1024,1024,256,2,2,p2p-i-la,3,211.992456
1024,1024,1024,256,2,2,p2p-i-la,3,211.595586
1024,1024,1024,256,2,2,p2p-i-la,4,206.687542
1024,1024,1024,256,2,2,p2p-i-la,4,210.352013
1024,1024,1024,256,2,2,p2p-i-la,4,211.220977
1024,1024,1024,256,2,2,p2p-i-la,4,211.866976
1024,1024,1024,256,2,2,p2p-i-la,4,212.034329
