m,p,q,algo,lookahead,gflops,process_count,duration,configuration
1024,2,2,bcast,0,2.642566,4,0.23306846618652344,4096
1024,2,2,p2p-i-la,2,15.531088,4,0.157989501953125,4096
2048,2,2,bcast,0,8.867258,4,1.0488896369934082,8192
2048,2,2,p2p-i-la,2,35.478152,4,0.5317988395690918,8192
3072,2,2,bcast,0,8.746568,4,3.3267982006073,12288
3072,2,2,p2p-i-la,2,38.468723,4,1.561462640762329,12288
1024,2,4,bcast,0,5.637254,8,0.2123243808746338,8192
1024,2,4,p2p-i-la,2,47.869723,8,0.11974954605102539,8192
2048,2,4,bcast,0,7.758674,8,1.0679686069488525,16384
2048,2,4,p2p-i-la,2,76.776391,8,0.6165258884429932,16384
3072,2,4,bcast,0,5.109347,8,3.5938568115234375,24576
3072,2,4,p2p-i-la,2,56.21129,8,1.648792028427124,24576
1024,4,2,bcast,0,6.187733,8,0.18352198600769043,8192
1024,4,2,p2p-i-la,2,43.877236,8,0.12967681884765625,8192
2048,4,2,bcast,0,7.548701,8,0.8556907176971436,16384
2048,4,2,p2p-i-la,2,73.545535,8,0.5493505001068115,16384
3072,4,2,bcast,0,6.65598,8,3.6581687927246094,24576
3072,4,2,p2p-i-la,2,69.555711,8,1.429541826248169,24576
1024,4,4,bcast,0,3.860534,16,0.23696064949035645,16384
1024,4,4,p2p-i-la,2,63.818237,16,0.10485625267028809,16384
2048,4,4,bcast,0,3.403234,16,1.1297307014465332,32768
2048,4,4,p2p-i-la,2,109.219306,16,0.4796762466430664,32768
3072,4,4,bcast,0,6.344092,16,5.549185514450073,49152
3072,4,4,p2p-i-la,2,62.845074,16,2.440397024154663,49152
